housing_address,housing_room_count,housing_type,housing_price,housing_selling_method,housing_seller_agency,housing_date_sold,housing_cbd_distance,housing_bedroom_count,housing_bathroom_count,housing_garage_count,housing_land_size,housing_building_area,housing_year_built,housing_lattitude,housing_longitude,suburb_id
36 Roberts Rd,4,h,785000.0,S,Considine,6/08/2016,13.5,3.0,1.0,2.0,597.0,127.0,,-37.7259,144.8792,1
11 Harrington Rd,6,h,725000.0,SP,Barry,7/05/2016,13.5,6.0,3.0,2.0,976.0,186.0,1980.0,-37.7239,144.8735,1
2/252 Parer Rd,2,t,450000.0,S,Barry,7/05/2016,13.5,2.0,1.0,1.0,110.0,90.0,2015.0,-37.7216,144.871,1
3/19 Hart St,2,u,515000.0,S,Barry,7/11/2016,13.5,2.0,1.0,1.0,141.0,73.0,2013.0,-37.7298,144.8883,1
2/62 Clydesdale Rd,2,u,530000.0,S,Nelson,10/09/2016,13.5,2.0,1.0,1.0,120.0,94.0,2012.0,-37.7234,144.8792,1
3 Deidre Ct,3,h,895000.0,PI,Rendina,10/09/2016,13.5,3.0,1.0,6.0,1063.0,133.0,1975.0,-37.7249,144.8728,1
13 Etzel St,3,h,805000.0,S,Nelson,10/12/2016,13.5,3.0,1.0,1.0,0.0,105.0,1950.0,-37.7217,144.8783,1
1/43 Cameron St,3,u,752000.0,S,Nelson,11/02/2017,13.5,3.0,1.0,1.0,265.0,130.0,1993.0,-37.7302,144.8855,1
145a Victory Rd,2,u,440000.0,S,Barry,13/08/2016,13.5,2.0,1.0,1.0,192.0,,,-37.7177,144.8787,1
241 Parer Rd,5,h,755000.0,PI,Propertyau,14/05/2016,13.5,3.0,2.0,2.0,596.0,,,-37.7248,144.8699,1
2/40 Earl St,3,t,700000.0,PI,Brad,15/10/2016,13.5,3.0,2.0,2.0,165.0,133.0,2009.0,-37.727,144.887,1
180 Parer Rd,3,h,830000.0,S,Barry,16/04/2016,13.5,3.0,1.0,2.0,971.0,113.0,1960.0,-37.7186,144.876,1
4/54 Hawker St,2,u,462500.0,S,Barry,16/07/2016,13.5,2.0,1.0,1.0,164.0,,2003.0,-37.7218,144.8863,1
43 Hillside Gr,3,h,670000.0,SP,Barry,16/07/2016,13.5,3.0,2.0,2.0,657.0,,,-37.7269,144.8742,1
174 Parer Rd,2,h,675000.0,S,Barry,16/07/2016,13.5,2.0,1.0,1.0,612.0,100.0,1975.0,-37.7187,144.8765,1
138 Victory Rd,3,h,1042000.0,S,Nelson,16/07/2016,13.5,3.0,2.0,5.0,612.0,174.0,1950.0,-37.7173,144.8796,1
75 King St,3,h,910000.0,S,McDonald,17/09/2016,13.5,3.0,1.0,1.0,775.0,,,-37.7231,144.8835,1
6 Kittyhawk St,4,h,773000.0,S,Brad,17/09/2016,13.5,5.0,3.0,4.0,531.0,309.0,1980.0,-37.7263,144.8679,1
478 Fullarton Rd,3,h,810000.0,PI,Barry,18/03/2017,13.5,3.0,3.0,2.0,555.0,192.0,1980.0,-37.7285,144.8694,1
144 Marshall Rd,3,h,715000.0,S,Rendina,18/03/2017,13.5,3.0,2.0,2.0,422.0,126.0,1995.0,-37.7164,144.8792,1
106 Parer Rd,3,h,790000.0,S,Nelson,18/03/2017,13.5,3.0,1.0,3.0,614.0,,,-37.7194,144.8827,1
3/7 South Rd,3,t,540000.0,SP,Nelson,18/06/2016,13.5,2.0,2.0,1.0,161.0,101.0,2010.0,-37.7231,144.8802,1
37 North St,3,t,825000.0,SP,Barry,19/11/2016,13.5,3.0,2.0,1.0,293.0,102.0,1960.0,-37.72,144.8776,1
10 Hilbert Rd,3,h,685000.0,S,Barry,22/05/2016,13.5,3.0,1.0,1.0,579.0,113.0,1975.0,-37.7226,144.8733,1
110 Halsey Rd,3,h,805000.0,S,Barry,22/08/2016,13.5,3.0,1.0,1.0,623.0,,,-37.7184,144.882,1
2/13 North St,2,u,510000.0,S,Nelson,22/08/2016,13.5,2.0,1.0,1.0,141.0,76.0,,-37.7202,144.8797,1
105a Victory Rd,3,h,612000.0,S,Nelson,22/08/2016,13.5,3.0,2.0,1.0,212.0,,,-37.7181,144.8824,1
117 Marshall Rd,3,h,662000.0,S,Brad,23/04/2016,13.5,3.0,1.0,2.0,612.0,,,-37.7169,144.8815,1
34 Moorna Dr,4,h,978000.0,S,Nelson,24/09/2016,13.5,4.0,3.0,2.0,532.0,,,-37.7263,144.869,1
33 North St,3,h,720000.0,PI,Nelson,25/02/2017,13.5,3.0,1.0,1.0,585.0,,,-37.72,144.878,1
49 Roberts Rd,4,h,765000.0,S,Prof.,27/11/2016,13.5,4.0,1.0,2.0,509.0,,,-37.7261,144.8785,1
85 Roberts Rd,4,h,900000.0,S,Harcourts,27/11/2016,13.5,4.0,2.0,3.0,628.0,146.0,1975.0,-37.7256,144.8739,1
105 Kerferd Rd,2,h,1275000.0,S,hockingstuart,3/09/2016,3.3,2.0,1.0,0.0,120.0,82.0,1900.0,-37.8459,144.9555,2
85 Richardson St,2,h,1455000.0,S,Thomson,3/09/2016,3.3,2.0,1.0,0.0,159.0,,,-37.845,144.9538,2
112 Beaconsfield Pde,3,h,2850000.0,PI,Buxton,4/03/2017,3.3,3.0,2.0,0.0,211.0,198.0,1890.0,-37.8481,144.9499,2
94 Graham St,3,h,1850000.0,S,Greg,4/03/2017,3.3,3.0,2.0,0.0,128.0,133.0,1890.0,-37.8452,144.9488,2
396 Montague St,2,h,1436000.0,S,RT,4/03/2017,3.3,2.0,1.0,0.0,130.0,81.0,1900.0,-37.8431,144.9565,2
75 Graham St,2,h,1110000.0,S,Marshall,6/08/2016,3.3,1.0,1.0,0.0,147.0,,1900.0,-37.8444,144.9484,2
54 Brooke St,2,h,1550000.0,S,Sotheby's,7/05/2016,3.3,2.0,1.0,1.0,167.0,,,-37.8405,144.9521,2
104 Richardson St,4,h,2300000.0,S,Marshall,7/05/2016,3.3,4.0,2.0,1.0,153.0,180.0,1880.0,-37.8447,144.9523,2
4a Mills St,3,t,1550000.0,VB,Marshall,7/11/2016,3.3,3.0,2.0,2.0,718.0,,,-37.8443,144.9598,2
1 Moubray St,3,h,1800000.0,VB,Greg,7/11/2016,3.3,3.0,2.0,1.0,132.0,159.0,1996.0,-37.8415,144.952,2
29 Faussett St,2,h,2120000.0,S,Greg,10/09/2016,3.3,2.0,1.0,1.0,199.0,107.0,1900.0,-37.8422,144.9554,2
3 Herbert St,3,h,1800000.0,VB,Cayzer,10/09/2016,3.3,3.0,1.0,1.0,253.0,,,-37.8443,144.9579,2
24 Kerferd Pl,3,h,1800000.0,S,Marshall,10/09/2016,3.3,3.0,2.0,1.0,90.0,122.0,1900.0,-37.8421,144.9571,2
44 Draper St,2,h,1810000.0,PI,Greg,10/12/2016,3.3,2.0,1.0,0.0,240.0,,,-37.8379,144.9539,2
2 Dundas Pl,3,h,2615000.0,S,Cayzer,10/12/2016,3.3,3.0,2.0,1.0,177.0,181.0,1880.0,-37.8415,144.9585,2
23 Finlay St,5,h,2100000.0,S,Greg,10/12/2016,3.3,5.0,2.0,1.0,237.0,,,-37.8436,144.9557,2
31 Richardson St,3,h,1300000.0,S,hockingstuart,10/12/2016,3.3,3.0,1.0,0.0,129.0,,,-37.8422,144.94899999999996,2
4a Gatehouse La,3,h,1370000.0,S,Greg,12/06/2016,3.3,3.0,2.0,2.0,0.0,85.0,2000.0,-37.8451,144.9511,2
60 Brooke St,2,h,1000000.0,S,Cayzer,12/11/2016,3.3,2.0,1.0,0.0,288.0,,,-37.8407,144.9523,2
70 Barrett St,3,h,2575000.0,S,Greg,15/10/2016,3.3,3.0,2.0,1.0,228.0,,,-37.8445,144.9501,2
65 Graham St,2,h,1322500.0,S,Greg,15/10/2016,3.3,2.0,1.0,0.0,149.0,98.0,1890.0,-37.8443,144.9481,2
364 Montague St,2,h,1562500.0,S,Greg,15/10/2016,3.3,2.0,1.0,0.0,141.0,83.0,1890.0,-37.8424,144.9562,2
86 Mills St,3,h,2000000.0,VB,RT,16/04/2016,3.3,3.0,2.0,1.0,211.0,147.0,1900.0,-37.847,144.9575,2
129 Kerferd Rd,3,h,1900000.0,S,Greg,18/03/2017,3.3,3.0,1.0,0.0,209.0,,1900.0,-37.8468,144.9546,2
97 Page St,3,h,3010000.0,S,Greg,18/03/2017,3.3,3.0,2.0,0.0,147.0,146.0,1890.0,-37.8473,144.9551,2
55 Withers St,4,h,2800000.0,VB,Cayzer,18/06/2016,3.3,4.0,3.0,1.0,327.0,254.0,1910.0,-37.8467,144.9475,2
10/140 Kerferd Rd,2,u,647000.0,S,Greg,22/05/2016,3.3,2.0,1.0,1.0,0.0,,,-37.846,144.9542,2
55 Merton St,3,h,2100000.0,SP,Marshall,23/04/2016,3.3,2.0,1.0,1.0,120.0,123.0,1900.0,-37.8427,144.9546,2
49 Page St,3,h,2000000.0,PI,Marshall,24/09/2016,3.3,3.0,1.0,1.0,238.0,131.0,1890.0,-37.8461,144.9528,2
13/52 Moubray St,1,u,442500.0,S,Marshall,25/02/2017,3.3,1.0,1.0,0.0,0.0,34.0,1970.0,-37.8421,144.9517,2
115 Page St,4,h,4735000.0,S,Marshall,25/02/2017,3.3,4.0,2.0,1.0,330.0,207.0,1910.0,-37.8477,144.9558,2
32 Page St,2,h,1340000.0,S,Greg,25/02/2017,3.3,2.0,1.0,0.0,136.0,,,-37.846,144.9517,2
34 Richardson St,3,h,1801000.0,S,hockingstuart,25/02/2017,3.3,3.0,1.0,1.0,202.0,,,-37.8429,144.9493,2
2b Dundas Pl,3,h,1532000.0,S,Chisholm,26/07/2016,3.3,3.0,3.0,1.0,0.0,,,-37.8415,144.9585,2
22 Greig St,3,h,3755000.0,S,Greg,26/07/2016,3.3,3.0,2.0,2.0,325.0,,,-37.8413,144.95,2
27 Barrett St,4,h,2140000.0,S,Greg,27/06/2016,3.3,3.0,2.0,1.0,183.0,145.0,1880.0,-37.8434,144.9495,2
44 Greig St,2,h,1750000.0,S,Marshall,27/11/2016,3.3,2.0,1.0,1.0,162.0,,,-37.8416,144.9488,2
6 Brooke St,2,h,980000.0,S,Greg,28/05/2016,3.3,2.0,1.0,0.0,79.0,68.0,1890.0,-37.8387,144.9519,2
227a Danks St,3,h,2030000.0,S,hockingstuart,28/08/2016,3.3,3.0,2.0,0.0,152.0,,,-37.8488,144.9551,2
17 Reed St,3,h,1740000.0,PI,Marshall,28/08/2016,3.3,3.0,2.0,2.0,147.0,134.0,1890.0,-37.8448,144.9453,2
74 Bridport St,3,h,2800000.0,VB,Buxton,30/07/2016,3.3,3.0,3.0,1.0,0.0,,,-37.8399,144.9577,2
9 Durham St,1,h,985000.0,S,Marshall,30/07/2016,3.3,1.0,1.0,0.0,81.0,54.0,1900.0,-37.8411,144.9497,2
6 Smith St,4,h,2000000.0,S,Brace,3/09/2016,6.4,3.0,2.0,4.0,853.0,263.0,1930.0,-37.7707,145.0318,3
5/6 Yarralea St,3,h,1110000.0,S,Jellis,3/09/2016,6.4,3.0,2.0,2.0,208.0,,2013.0,-37.7854,145.0325,3
136A Fulham Rd,3,h,1492000.0,S,Jellis,4/03/2017,6.4,3.0,2.0,2.0,411.0,,,-37.7713,145.0279,3
44 Shiers St,4,h,1717500.0,S,Collins,8/10/2016,6.4,4.0,2.0,1.0,599.0,203.0,1925.0,-37.7717,145.031,3
83 Fulham Rd,5,h,2840000.0,S,Nelson,12/06/2016,6.4,5.0,4.0,4.0,809.0,165.0,1910.0,-37.775,145.0268,3
3/19 Harker St,2,u,525500.0,S,Miles,12/11/2016,6.4,2.0,1.0,1.0,88.0,60.0,1960.0,-37.7791,145.0306,3
4/2 Miller St,2,t,805000.0,S,Miles,12/11/2016,6.4,2.0,2.0,3.0,155.0,140.0,2004.0,-37.7804,145.0308,3
2/5 Yarana Rd,2,u,465000.0,S,McGrath,12/11/2016,6.4,2.0,1.0,1.0,0.0,,,-37.7773,145.0314,3
815 Heidelberg Rd,3,h,2000000.0,PI,hockingstuart,15/10/2016,6.4,3.0,3.0,2.0,686.0,,,-37.78,145.0341,3
44 Naroon Rd,3,h,1540000.0,S,Nelson,16/04/2016,6.4,3.0,1.0,2.0,592.0,,,-37.7755,145.0288,3
3/98 Grange Rd,2,u,820000.0,S,Nelson,18/03/2017,6.4,2.0,1.0,1.0,183.0,,,-37.7747,145.0264,3
10 Bennett St,4,h,1830000.0,S,Nelson,19/11/2016,6.4,4.0,2.0,2.0,606.0,112.0,1970.0,-37.7743,145.0316,3
38 Bennett St,4,h,2100000.0,S,Nelson,19/11/2016,6.4,4.0,2.0,2.0,575.0,271.0,2008.0,-37.7723,145.0319,3
2c Hamilton St,3,h,865000.0,SP,hockingstuart,22/05/2016,6.4,3.0,1.0,1.0,180.0,131.0,2010.0,-37.7802,145.0243,3
5/5 Yarana Rd,2,u,390000.0,VB,Nelson,22/05/2016,6.4,2.0,1.0,1.0,0.0,60.0,1960.0,-37.7773,145.0314,3
7/7 Chandler Hwy,2,t,650000.0,SP,Brace,24/09/2016,6.4,0.0,1.0,0.0,0.0,,,-37.7848,145.025,3
1/14 Fulham Rd,2,u,512000.0,S,Love,25/02/2017,6.4,2.0,1.0,1.0,0.0,61.0,1965.0,-37.7805,145.0262,3
22 Lowther St,3,h,1165000.0,S,Barry,27/06/2016,6.4,3.0,1.0,2.0,979.0,,,-37.7792,145.029,3
11 Margaret Gr,4,h,1900000.0,SP,McGrath,27/11/2016,6.4,4.0,2.0,2.0,556.0,272.0,1930.0,-37.7844,145.0225,3
6 Naroon Rd,3,h,1485000.0,SP,McGrath,28/08/2016,6.4,3.0,0.0,0.0,597.0,,,-37.7781,145.0284,3
42 Shiers St,4,h,1950000.0,S,Jellis,30/07/2016,6.4,4.0,2.0,3.0,589.0,210.0,1920.0,-37.7719,145.0309,3
158 Queen St,3,h,520000.0,VB,Greg,3/09/2016,13.8,3.0,2.0,1.0,352.0,242.0,2015.0,-37.87,144.825,4
59 Bracken Gr,5,h,1525000.0,S,Greg,3/12/2016,13.8,5.0,3.0,3.0,729.0,268.0,2005.0,-37.8721,144.8105,4
1/123 Blyth St,2,t,720000.0,S,hockingstuart,4/02/2016,13.8,2.0,1.0,2.0,292.0,125.0,2013.0,-37.8687,144.8197,4
4 Blyth St,3,h,1120000.0,S,Barlow,4/03/2017,13.8,3.0,1.0,2.0,506.0,120.0,1930.0,-37.8693,144.8375,4
20 Linnet St,4,h,780000.0,PI,Sweeney,4/06/2016,13.8,4.0,1.0,4.0,655.0,,,-37.868,144.8154,4
29 Rose St,4,h,1780000.0,SP,Greg,4/06/2016,13.8,4.0,3.0,6.0,1057.0,220.0,1962.0,-37.8681,144.819,4
1/170 Blyth St,3,u,630000.0,S,Barlow,6/08/2016,13.8,2.0,1.0,2.0,311.0,94.0,1955.0,-37.8702,144.8143,4
5/35 Grieve Pde,2,u,406000.0,SP,hockingstuart,6/08/2016,13.8,2.0,1.0,1.0,65.0,,,-37.8693,144.8171,4
156 Maidstone St,3,h,660000.0,VB,Greg,7/05/2016,13.8,3.0,1.0,1.0,602.0,123.0,1955.0,-37.8616,144.8116,4
11 Keeshan Ct,3,h,683500.0,S,Greg,7/11/2016,13.8,3.0,1.0,1.0,530.0,,,-37.8594,144.817,4
1/136 Queen St,2,u,580000.0,S,Barlow,8/10/2016,13.8,2.0,1.0,1.0,225.0,93.0,1988.0,-37.8696,144.827,4
173 Queen St,3,h,1335000.0,S,hockingstuart,8/10/2016,13.8,3.0,1.0,4.0,777.0,22.0,1953.0,-37.8697,144.8249,4
1/265 Queen St,3,t,800000.0,SP,hockingstuart,8/10/2016,13.8,3.0,2.0,2.0,280.0,,1997.0,-37.8734,144.8143,4
3/26 Grieve Pde,2,u,510000.0,S,Village,10/09/2016,13.8,2.0,1.0,1.0,127.0,76.0,1990.0,-37.8686,144.8182,4
261 Queen St,4,h,1070000.0,S,Barlow,10/09/2016,13.8,4.0,2.0,2.0,695.0,,,-37.8733,144.8147,4
4/5 Rose St,2,u,425000.0,S,hockingstuart,10/09/2016,13.8,2.0,1.0,2.0,115.0,57.0,1980.0,-37.871,144.8185,4
1/60 David St,3,u,605000.0,S,Jas,10/12/2016,13.8,3.0,2.0,2.0,230.0,,,-37.8646,144.827,4
1A Merritt Ct,3,t,705000.0,S,hockingstuart,11/02/2017,13.8,3.0,2.0,2.0,197.0,152.0,,-37.8579,144.8181,4
4/31 Millers Rd,2,u,391000.0,SP,Greg,11/02/2017,13.8,2.0,1.0,1.0,0.0,65.0,1965.0,-37.8678,144.8384,4
111/112 Pier St,2,u,440000.0,SP,hockingstuart,11/02/2017,13.8,2.0,1.0,1.0,0.0,,,-37.8659,144.83100000000005,4
24 Wren St,4,h,845000.0,S,hockingstuart,11/02/2017,13.8,4.0,1.0,2.0,745.0,130.0,1950.0,-37.8658,144.8155,4
1/152 Blyth St,3,t,743000.0,SP,Gunn&Co,12/11/2016,13.8,3.0,2.0,2.0,211.0,176.0,,-37.8698,144.816,4
4/57 Blyth St,3,u,730000.0,SP,Barlow,13/08/2016,13.8,3.0,2.0,1.0,69.0,141.0,2014.0,-37.868,144.8286,4
164 Maidstone St,3,h,635000.0,S,Sweeney,14/05/2016,13.8,3.0,1.0,4.0,625.0,,1960.0,-37.8611,144.8114,4
3/25 Rayner St,2,u,620000.0,SP,hockingstuart,14/05/2016,13.8,2.0,1.0,1.0,168.0,,,-37.8676,144.8202,4
3/46 Sargood St,2,u,447000.0,S,Burnham,15/10/2016,13.8,2.0,1.0,1.0,137.0,77.0,1990.0,-37.8655,144.8299,4
1/57 Blyth St,3,u,730000.0,SP,Barlow,16/04/2016,13.8,3.0,2.0,1.0,70.0,,,-37.868,144.8287,4
22 Fenfield St,3,h,678000.0,S,hockingstuart,16/04/2016,13.8,3.0,1.0,2.0,606.0,87.0,1950.0,-37.8608,144.8124,4
5/8 David St,2,u,580000.0,PI,Biggin,16/07/2016,13.8,2.0,2.0,1.0,175.0,76.0,2013.0,-37.8687,144.8268,4
1/28 Seves St,3,h,712000.0,S,hockingstuart,17/09/2016,13.8,3.0,1.0,2.0,363.0,,,-37.8674,144.8375,4
27 McIntyre Dr,3,h,840000.0,SP,Greg,18/03/2017,13.8,3.0,2.0,2.0,534.0,136.0,1965.0,-37.86,144.8245,4
4 Boyd St,3,h,980000.0,S,Barlow,19/11/2016,13.8,3.0,1.0,2.0,724.0,,,-37.8672,144.817,4
12 Spear Ct,3,t,605100.0,S,hockingstuart,22/05/2016,13.8,3.0,2.0,0.0,265.0,,,-37.8583,144.8172,4
185 Queen St,3,h,880000.0,PI,Barlow,22/08/2016,13.8,3.0,3.0,1.0,577.0,,,-37.8699,144.8235,4
3/20 Mulga St,3,u,577000.0,S,Williams,23/04/2016,13.8,3.0,2.0,1.0,205.0,113.0,2007.0,-37.8684,144.815,4
51 Millers Rd,4,h,1030000.0,S,Barlow,25/02/2017,13.8,4.0,1.0,0.0,797.0,,,-37.8663,144.8387,4
2/119 Railway St N,3,u,605000.0,S,Barlow,25/02/2017,13.8,3.0,1.0,2.0,181.0,,,-37.8659,144.822,4
24 McIntyre Dr,3,h,753000.0,S,Barlow,27/06/2016,13.8,3.0,2.0,2.0,529.0,,,-37.8612,144.8247,4
104 Maidstone St,2,h,857000.0,SP,hockingstuart,27/11/2016,13.8,2.0,2.0,1.0,675.0,100.0,1950.0,-37.8653,144.8129,4
49 Bent St,3,h,1500000.0,S,Barlow,28/05/2016,13.8,3.0,1.0,1.0,929.0,,,-37.8651,144.832,4
5/57 Blyth St,3,u,730000.0,SP,Barlow,28/05/2016,13.8,3.0,2.0,1.0,70.0,3.0,2014.0,-37.868,144.8285,4
15 Kookaburra St,3,h,900000.0,S,Sweeney,28/05/2016,13.8,3.0,1.0,4.0,697.0,,,-37.871,144.8075,4
219 Civic Pde,3,h,740000.0,S,Greg,28/08/2016,13.8,3.0,1.0,2.0,604.0,,,-37.8631,144.8195,4
3 Curtin Ct,4,h,931000.0,S,Sweeney,28/08/2016,13.8,4.0,2.0,3.0,532.0,,1970.0,-37.8637,144.8365,4
2/60 David St,2,h,535600.0,SP,Compton,30/07/2016,13.8,2.0,1.0,1.0,154.0,91.0,1996.0,-37.8646,144.8272,4
45 Hearn St,5,h,1085000.0,S,FN,3/09/2016,11.1,5.0,3.0,6.0,592.0,251.0,1965.0,-37.8388,144.8567,5
4 Knapp St,3,h,781000.0,S,Jas,3/09/2016,11.1,3.0,1.0,2.0,533.0,117.0,1970.0,-37.8291,144.835,5
21 Hatherley Gr,3,h,750000.0,SP,Jas,4/03/2017,11.1,3.0,1.0,3.0,554.0,,,-37.8449,144.85,5
3/66 Marion St,2,t,421000.0,S,hockingstuart,4/03/2017,11.1,2.0,1.0,1.0,77.0,77.0,2009.0,-37.8351,144.8529,5
153 Mills St,3,h,1405000.0,S,Sweeney,4/03/2017,11.1,3.0,1.0,3.0,655.0,,,-37.8338,144.8562,5
