suburb_name,suburb_postcode,suburb_region_name,suburb_property_count,suburb_council_area,suburb_description_wordcount,suburb_neighborhoods_overview_wordcount,suburb_transit_wordcount,suburb_rental_dailyprice
Avondale Heights,3034.0,Western Metropolitan,4502.0,['Moonee Valley'],,,,
Balaclava,3183.0,Southern Metropolitan,2952.0,['Port Phillip'],"[('st', 306), ('apartment', 234), ('kilda', 214), ('street', 214), ('bedroom', 177), ('walk', 176), ('kitchen', 154), ('tram', 135), ('room', 135), (""'s"", 134)]","[('st', 270), ('kilda', 203), ('street', 178), ('walk', 110), (""'s"", 99), ('melbourne', 95), ('beach', 86), ('cafes', 83), ('carlisle', 82), ('chapel', 80)]","[('walk', 225), ('tram', 206), ('station', 172), ('street', 170), ('train', 161), ('st', 155), ('city', 101), ('kilda', 98), ('min', 95), ('minute', 93)]",120.30857142857143
Balwyn,3103.0,Southern Metropolitan,5682.0,['Boroondara'],"[('balwyn', 46), ('house', 37), ('room', 34), ('•', 30), ('melbourne', 25), ('bathroom', 24), (""'s"", 24), ('area', 22), ('private', 21), ('shared', 21)]","[('balwyn', 53), ('’', 34), ('melbourne', 20), ('homes', 20), ('area', 18), ('period', 15), ('cafes', 14), ('cinema', 13), ('suburb', 12), (""'s"", 11)]","[('city', 25), ('bus', 22), ('tram', 22), ('balwyn', 17), ('minutes', 12), ('also', 12), ('•', 12), ('￫', 12), ('stop', 12), ('trams', 11)]",80.04
Balwyn North,3104.0,Southern Metropolitan,7809.0,['Boroondara'],"[('walk', 31), ('minutes', 19), ('bus', 19), ('tram', 17), ('one', 16), ('cbd', 14), ('room', 14), ('available', 14), ('mins', 14), ('house', 13)]","[('walk', 14), ('area', 7), ('shops', 7), ('nearby', 6), ('peaceful', 5), ('beautiful', 5), ('close', 5), ('local', 5), ('cafes', 5), ('parks', 5)]","[('minutes', 21), ('bus', 17), ('tram', 14), ('walk', 11), ('takes', 9), ('city', 9), ('directly', 8), ('doncaster', 8), ('stop', 7), ('cbd', 6)]",74.84210526315789
Bentleigh,3204.0,Southern Metropolitan,6795.0,['Glen Eira'],"[('station', 43), ('home', 39), ('train', 39), ('bedroom', 38), ('room', 36), ('available', 35), ('living', 32), ('walk', 32), ('kitchen', 31), ('area', 27)]","[('cafes', 20), ('shopping', 19), ('restaurants', 19), ('centre', 18), ('drive', 17), ('beach', 16), ('melbourne', 16), ('close', 15), ('road', 15), ('minutes', 14)]","[('station', 35), ('train', 34), ('bus', 21), ('city', 18), ('walk', 15), ('parking', 15), ('street', 12), ('shopping', 12), ('transport', 12), ('away', 12)]",151.0487804878049
Bentleigh East,3165.0,Southern Metropolitan,10969.0,['Glen Eira'],"[('room', 29), ('bedroom', 28), ('bed', 28), ('area', 26), ('home', 26), ('living', 23), ('bathroom', 22), ('bus', 22), ('kitchen', 20), ('house', 19)]","[('drive', 24), ('shopping', 16), ('minutes', 15), ('close', 14), ('shops', 13), ('mins', 13), ('centre', 12), ('minute', 12), ('restaurants', 10), ('city', 10)]","[('bus', 39), ('minutes', 25), ('station', 21), ('mins', 20), ('train', 19), ('city', 15), ('walk', 15), ('drive', 15), ('min', 13), ('monash', 11)]",117.45454545454545
Box Hill,3128.0,Eastern Metropolitan,4605.0,['Whitehorse'],"[('hill', 229), ('box', 222), ('area', 137), ('bedroom', 110), ('apartment', 99), ('kitchen', 93), ('room', 92), ('walk', 89), ('bed', 85), ('within', 84)]","[('hill', 389), ('box', 388), ('shopping', 93), ('college', 80), ('station', 78), ('cbd', 71), ('within', 71), ('centre', 68), ('school', 60), ('minutes', 59)]","[('hill', 178), ('box', 171), ('train', 109), ('station', 90), ('shopping', 83), ('bus', 80), ('minutes', 70), ('walk', 65), ('centre', 61), ('mins', 59)]",116.51304347826087
Braybrook,3019.0,Western Metropolitan,3589.0,['Maribyrnong'],,,,
Brighton,3186.0,Southern Metropolitan,10579.0,['Bayside'],"[('brighton', 157), ('beach', 123), ('walk', 86), ('bedroom', 84), ('room', 72), ('home', 69), ('train', 68), ('street', 67), ('house', 63), ('apartment', 61)]","[('brighton', 126), ('beach', 81), ('street', 72), ('melbourne', 53), ('walk', 51), (""'s"", 44), ('bay', 41), ('restaurants', 33), ('shops', 32), ('cafes', 30)]","[('train', 83), ('brighton', 76), ('station', 69), ('walk', 68), ('street', 55), ('minute', 40), ('minutes', 39), ('mins', 39), ('melbourne', 36), ('city', 34)]",274.3809523809524
Brighton East,3187.0,Southern Metropolitan,6938.0,"['Bayside', 'Glen Eira']","[('brighton', 43), ('home', 42), ('beach', 38), ('large', 34), ('house', 28), ('living', 27), ('room', 26), ('bedroom', 24), ('melbourne', 23), ('street', 21)]","[('brighton', 39), ('beach', 18), ('street', 16), ('park', 13), ('st', 13), ('kilda', 12), ('minute', 11), ('walk', 10), ('melbourne', 10), (""'s"", 10)]","[('train', 26), ('walk', 19), ('station', 18), ('bus', 16), ('city', 14), ('stop', 12), ('take', 11), ('tram', 10), ('minutes', 9), ('transport', 9)]",171.0
Brunswick,3056.0,Northern Metropolitan,11918.0,['Moreland'],"[('room', 424), ('brunswick', 352), ('melbourne', 278), ('apartment', 265), ('house', 260), ('kitchen', 251), ('bedroom', 246), ('home', 242), ('bathroom', 221), (""'s"", 217)]","[('brunswick', 338), ('melbourne', 205), ('sydney', 173), ('road', 171), (""'s"", 166), ('street', 156), ('cafes', 147), ('restaurants', 132), ('walk', 132), ('bars', 114)]","[('tram', 400), ('train', 291), ('walk', 288), ('station', 276), ('street', 258), ('city', 225), ('melbourne', 205), ('road', 183), ('sydney', 181), ('shopping', 154)]",98.57859531772576
Brunswick West,3055.0,Northern Metropolitan,7082.0,['Moreland'],"[('melbourne', 62), ('walk', 60), ('tram', 59), ('city', 57), ('room', 51), ('home', 50), ('house', 50), ('brunswick', 48), ('kitchen', 48), (""'s"", 46)]","[('brunswick', 37), ('walk', 35), ('melbourne', 33), ('road', 24), ('shops', 23), (""'s"", 22), ('minutes', 22), ('sydney', 22), ('restaurants', 22), ('great', 21)]","[('tram', 60), ('walk', 50), ('city', 42), ('minutes', 33), ('minute', 32), ('also', 26), ('stop', 26), ('melbourne', 25), ('bus', 22), ('road', 20)]",83.92727272727272
Bulleen,3105.0,Eastern Metropolitan,4480.0,['Manningham'],,,,
Burwood,3125.0,Southern Metropolitan,5678.0,"['Whitehorse', 'Monash']","[('burwood', 36), ('deakin', 28), ('tram', 26), ('university', 24), ('area', 23), ('melbourne', 23), ('bed', 22), ('city', 19), ('kitchen', 18), ('house', 18)]","[('burwood', 13), ('melbourne', 12), ('km', 11), ('minutes', 9), ('university', 8), ('walk', 7), ('deakin', 7), ('mins', 7), ('intellectuals', 6), ('also', 5)]","[('tram', 30), ('bus', 25), ('mins', 23), ('shopping', 21), ('walk', 20), ('city', 18), ('burwood', 16), ('deakin', 15), ('drive', 13), ('university', 12)]",110.17391304347827
Camberwell,3124.0,Southern Metropolitan,8920.0,['Boroondara'],"[('camberwell', 70), ('walk', 52), ('kitchen', 47), ('house', 45), ('room', 44), ('train', 39), ('area', 39), ('tram', 36), ('bedroom', 36), ('large', 35)]","[('camberwell', 61), ('market', 30), ('melbourne', 30), ('walk', 29), ('restaurants', 23), ('away', 21), ('cafes', 21), (""'s"", 19), ('shopping', 19), ('km', 18)]","[('train', 55), ('walk', 48), ('minutes', 48), ('station', 47), ('city', 46), ('tram', 44), ('camberwell', 35), ('parking', 23), ('stop', 18), ('car', 18)]",125.1219512195122
Canterbury,3126.0,Southern Metropolitan,3265.0,['Boroondara'],,,,
Carlton North,3054.0,Northern Metropolitan,3106.0,['Yarra'],"[('melbourne', 112), ('apartment', 104), ('house', 103), ('bedroom', 102), ('room', 93), ('kitchen', 90), ('carlton', 84), ('bed', 82), ('restaurants', 68), ('city', 65)]","[('carlton', 90), ('melbourne', 89), ('walk', 76), ('restaurants', 65), ('cafes', 64), ('st', 63), ('north', 63), ('city', 53), (""'s"", 52), ('lygon', 49)]","[('tram', 96), ('st', 84), ('city', 78), ('trams', 69), ('walk', 55), ('street', 51), ('get', 50), ('melbourne', 48), ('around', 46), ('stop', 38)]",140.32978723404256
Carnegie,3163.0,Southern Metropolitan,7822.0,['Glen Eira'],"[('room', 111), ('train', 105), ('walk', 85), ('bedroom', 82), ('house', 79), ('apartment', 75), ('station', 72), ('shopping', 70), ('kitchen', 69), ('carnegie', 63)]","[('shopping', 68), ('away', 44), ('chadstone', 43), ('walk', 40), ('carnegie', 38), ('minutes', 36), ('centre', 33), ('walking', 33), ('restaurants', 33), ('distance', 31)]","[('train', 99), ('station', 80), ('walk', 74), ('minutes', 49), ('bus', 39), ('minute', 37), ('city', 35), ('away', 35), ('melbourne', 32), ('tram', 31)]",97.29545454545455
Caulfield,3162.0,Southern Metropolitan,2379.0,['Glen Eira'],"[('caulfield', 46), ('apartment', 42), ('home', 35), ('access', 33), ('room', 33), ('bedroom', 33), ('kitchen', 32), ('area', 30), ('located', 29), ('close', 28)]","[('caulfield', 50), ('close', 24), ('restaurants', 21), ('park', 15), ('road', 15), ('well', 15), ('restaurant', 14), ('many', 13), ('neighbourhood', 13), ('’', 12)]","[('tram', 52), ('caulfield', 30), ('city', 30), ('train', 29), ('road', 25), ('station', 24), ('bus', 24), ('elsternwick', 23), ('street', 22), ('st', 22)]",145.65
Caulfield North,3161.0,Southern Metropolitan,6923.0,['Glen Eira'],"[('caulfield', 91), ('apartment', 90), ('bedroom', 55), ('walk', 50), ('room', 48), ('close', 44), ('kitchen', 43), ('access', 43), ('park', 42), ('train', 41)]","[('caulfield', 101), ('st', 36), ('park', 35), ('close', 28), ('melbourne', 27), ('road', 26), ('restaurants', 25), ('walk', 24), (""'s"", 23), ('north', 23)]","[('tram', 55), ('train', 48), ('station', 45), ('walk', 40), ('city', 37), ('caulfield', 36), ('st', 32), ('minutes', 29), ('bus', 27), ('trams', 26)]",137.4
Caulfield South,3162.0,Southern Metropolitan,5051.0,['Glen Eira'],"[('caulfield', 46), ('apartment', 42), ('home', 35), ('access', 33), ('room', 33), ('bedroom', 33), ('kitchen', 32), ('area', 30), ('located', 29), ('close', 28)]","[('caulfield', 50), ('close', 24), ('restaurants', 21), ('park', 15), ('road', 15), ('well', 15), ('restaurant', 14), ('many', 13), ('neighbourhood', 13), ('’', 12)]","[('tram', 52), ('caulfield', 30), ('city', 30), ('train', 29), ('road', 25), ('station', 24), ('bus', 24), ('elsternwick', 23), ('street', 22), ('st', 22)]",145.65
Chadstone,3148.0,Southern Metropolitan,3582.0,['Monash'],,,,
Clifton Hill,3068.0,Northern Metropolitan,2954.0,['Yarra'],"[('fitzroy', 236), ('city', 211), ('house', 203), ('melbourne', 190), ('bedroom', 190), ('room', 183), ('apartment', 175), ('home', 172), ('street', 171), ('north', 163)]","[('fitzroy', 206), ('street', 166), ('melbourne', 156), (""'s"", 148), ('north', 140), ('walk', 138), ('cafes', 131), ('restaurants', 118), ('great', 108), ('city', 105)]","[('tram', 282), ('walk', 214), ('city', 195), ('street', 180), ('train', 132), ('st', 130), ('station', 123), ('minutes', 115), ('minute', 112), ('melbourne', 94)]",129.50471698113208
Coburg,3058.0,Northern Metropolitan,11204.0,['Moreland'],"[('room', 108), ('house', 102), ('coburg', 79), ('bedroom', 74), ('kitchen', 72), ('walk', 70), ('bathroom', 63), ('bed', 62), ('home', 61), ('tram', 60)]","[('coburg', 79), ('cafes', 44), ('sydney', 41), ('walk', 41), ('great', 39), ('road', 35), ('restaurants', 34), ('around', 33), ('melbourne', 28), ('street', 28)]","[('tram', 97), ('train', 86), ('walk', 83), ('city', 60), ('station', 58), ('minutes', 58), ('melbourne', 52), ('street', 37), ('away', 36), ('minute', 33)]",111.58536585365853
Coburg North,3058.0,Northern Metropolitan,3445.0,"['Moreland', 'Darebin']","[('room', 108), ('house', 102), ('coburg', 79), ('bedroom', 74), ('kitchen', 72), ('walk', 70), ('bathroom', 63), ('bed', 62), ('home', 61), ('tram', 60)]","[('coburg', 79), ('cafes', 44), ('sydney', 41), ('walk', 41), ('great', 39), ('road', 35), ('restaurants', 34), ('around', 33), ('melbourne', 28), ('street', 28)]","[('tram', 97), ('train', 86), ('walk', 83), ('city', 60), ('station', 58), ('minutes', 58), ('melbourne', 52), ('street', 37), ('away', 36), ('minute', 33)]",111.58536585365853
Collingwood,3066.0,Northern Metropolitan,4553.0,['Yarra'],"[('apartment', 376), ('melbourne', 248), ('collingwood', 232), ('bedroom', 190), (""'s"", 184), ('smith', 169), ('city', 164), ('street', 158), ('kitchen', 151), ('space', 138)]","[('melbourne', 203), ('collingwood', 175), ('street', 166), (""'s"", 132), ('walk', 131), ('restaurants', 128), ('bars', 115), ('smith', 108), ('cafes', 106), ('great', 85)]","[('walk', 212), ('tram', 199), ('minutes', 145), ('city', 141), ('street', 141), ('st', 130), ('station', 113), ('minute', 87), ('smith', 85), ('cbd', 85)]",153.42211055276383
Doncaster,3108.0,Eastern Metropolitan,9028.0,['Manningham'],"[('shopping', 63), ('apartment', 60), ('doncaster', 56), ('westfield', 53), (';', 38), ('bedroom', 33), ('restaurants', 33), ('located', 31), ('kitchen', 29), ('modern', 28)]","[('doncaster', 43), ('shopping', 37), ('ranges', 25), ('westfield', 23), ('hill', 22), ('centre', 20), ('eastern', 17), ('melbourne', 16), ('central', 15), ('box', 13)]","[('bus', 28), ('available', 19), ('min', 18), ('made', 16), ('cbd', 15), ('shopping', 15), ('melbourne', 15), ('doncaster', 13), ('eastern', 12), ('km', 12)]",146.09615384615384
Eaglemont,3084.0,Eastern Metropolitan,1651.0,['Banyule'],"[('heidelberg', 40), ('walk', 39), ('stay', 33), ('house', 31), ('apartment', 30), ('bedroom', 27), ('station', 24), ('access', 24), ('restaurants', 24), ('guests', 23)]","[('rosanna', 16), ('cafes', 13), ('restaurants', 13), ('shops', 12), ('walk', 11), ('away', 11), ('parklands', 11), ('heidelberg', 11), ('hospital', 10), ('walking', 10)]","[('train', 39), ('station', 29), ('walk', 22), ('melbourne', 20), ('bus', 19), ('min', 16), ('heidelberg', 15), ('access', 14), ('city', 14), ('transport', 13)]",116.09375
Elsternwick,3185.0,Southern Metropolitan,4898.0,['Glen Eira'],"[('apartment', 83), ('walk', 53), ('train', 51), ('melbourne', 50), ('close', 48), ('room', 48), ('kitchen', 47), ('large', 44), ('access', 43), ('elsternwick', 43)]","[('walk', 42), ('melbourne', 31), ('ripponlea', 28), ('st', 27), ('restaurants', 27), ('beach', 25), ('train', 25), ('elsternwick', 24), ('road', 24), ('street', 23)]","[('walk', 56), ('train', 54), ('station', 47), ('tram', 45), ('city', 45), ('bus', 31), ('minutes', 27), ('elsternwick', 25), ('min', 25), ('st', 24)]",139.16666666666666
Elwood,3184.0,Southern Metropolitan,8989.0,"['Port Phillip', 'Glen Eira']","[('apartment', 359), ('elwood', 345), ('beach', 291), ('st', 267), ('walk', 244), ('kilda', 223), ('bedroom', 195), ('kitchen', 181), (""'s"", 180), ('street', 167)]","[('elwood', 327), ('st', 232), ('kilda', 208), ('beach', 196), ('walk', 153), ('restaurants', 139), ('cafes', 133), ('melbourne', 112), (""'s"", 108), ('city', 97)]","[('walk', 242), ('tram', 181), ('train', 162), ('station', 154), ('bus', 145), ('st', 145), ('city', 127), ('street', 104), ('minute', 100), ('transport', 98)]",131.9814814814815
Essendon,3040.0,Western Metropolitan,9264.0,['Moonee Valley'],"[('room', 30), ('apartment', 28), ('tram', 23), ('bedroom', 22), ('close', 22), ('essendon', 22), ('train', 21), ('airport', 19), ('bed', 19), ('large', 18)]","[('great', 16), ('cafes', 16), ('street', 13), ('restaurants', 12), ('shops', 11), ('close', 11), ('essendon', 11), ('melbourne', 11), ('city', 11), ('transport', 9)]","[('train', 29), ('minutes', 28), ('melbourne', 27), ('tram', 26), ('station', 26), ('walk', 22), ('airport', 17), ('cbd', 16), ('essendon', 15), ('bus', 13)]",124.88
Essendon North,3041.0,Western Metropolitan,1308.0,['Moonee Valley'],,,,
Fairfield,3078.0,Northern Metropolitan,2970.0,"['Darebin', 'Yarra']","[('room', 89), ('house', 64), ('fairfield', 59), ('train', 53), ('walk', 53), ('bathroom', 48), ('station', 48), ('kitchen', 41), ('bedroom', 41), ('bed', 40)]","[('fairfield', 57), ('walk', 35), ('cafes', 30), ('street', 30), ('away', 27), ('river', 25), ('yarra', 24), ('station', 24), ('great', 24), ('boathouse', 23)]","[('station', 73), ('train', 65), ('bus', 49), ('walk', 46), ('fairfield', 33), ('city', 33), ('melbourne', 31), ('minutes', 27), ('street', 24), ('airport', 24)]",101.9795918367347
Fitzroy,3065.0,Northern Metropolitan,5825.0,['Yarra'],"[('fitzroy', 411), ('apartment', 376), ('melbourne', 325), (""'s"", 254), ('street', 217), ('kitchen', 213), ('bedroom', 208), ('city', 208), ('room', 197), ('walk', 187)]","[('melbourne', 322), ('fitzroy', 319), ('street', 287), (""'s"", 218), ('bars', 178), ('st', 161), ('restaurants', 155), ('cafes', 151), ('walk', 151), ('brunswick', 147)]","[('tram', 374), ('walk', 325), ('st', 245), ('street', 239), ('city', 232), ('minutes', 148), ('melbourne', 122), ('brunswick', 117), ('minute', 116), ('away', 111)]",148.28996282527882
Fitzroy North,3068.0,Northern Metropolitan,6244.0,"['Yarra', 'Moreland']","[('fitzroy', 236), ('city', 211), ('house', 203), ('melbourne', 190), ('bedroom', 190), ('room', 183), ('apartment', 175), ('home', 172), ('street', 171), ('north', 163)]","[('fitzroy', 206), ('street', 166), ('melbourne', 156), (""'s"", 148), ('north', 140), ('walk', 138), ('cafes', 131), ('restaurants', 118), ('great', 108), ('city', 105)]","[('tram', 282), ('walk', 214), ('city', 195), ('street', 180), ('train', 132), ('st', 130), ('station', 123), ('minutes', 115), ('minute', 112), ('melbourne', 94)]",129.50471698113208
Flemington,3031.0,Northern Metropolitan,3593.0,"['Moonee Valley', 'Melbourne']","[('melbourne', 228), ('kensington', 133), ('city', 122), ('train', 120), ('room', 119), ('apartment', 117), ('walk', 116), ('flemington', 113), ('bedroom', 110), ('kitchen', 101)]","[('melbourne', 145), ('flemington', 107), ('kensington', 86), ('walk', 86), ('city', 68), ('racecourse', 57), ('away', 57), (""'s"", 54), ('cafes', 51), ('restaurants', 50)]","[('station', 146), ('train', 142), ('walk', 133), ('melbourne', 125), ('tram', 96), ('city', 92), ('minutes', 90), ('kensington', 81), ('km', 66), ('street', 59)]",126.36220472440945
Footscray,3011.0,Western Metropolitan,7570.0,['Maribyrnong'],"[('footscray', 174), ('room', 162), ('melbourne', 154), ('kitchen', 134), ('city', 129), ('train', 124), ('house', 117), ('bedroom', 115), ('home', 105), ('walk', 102)]","[('footscray', 164), ('restaurants', 91), ('melbourne', 89), ('great', 69), (""'s"", 69), ('cafes', 66), ('walk', 59), ('station', 56), ('walking', 48), ('bars', 48)]","[('station', 188), ('train', 154), ('footscray', 146), ('melbourne', 125), ('walk', 109), ('city', 96), ('minutes', 90), ('bus', 79), ('cbd', 59), ('shopping', 54)]",98.89473684210526
Glen Iris,3146.0,Southern Metropolitan,10412.0,"['Boroondara', 'Stonnington']","[('apartment', 46), ('glen', 42), ('walk', 40), ('iris', 38), ('bedroom', 38), ('kitchen', 38), ('melbourne', 35), ('private', 33), ('train', 33), ('area', 32)]","[('km', 28), ('glen', 26), ('iris', 26), ('shopping', 26), ('melbourne', 20), ('centre', 16), ('away', 15), ('public', 14), ('minutes', 14), ('city', 13)]","[('tram', 53), ('station', 48), ('walk', 47), ('train', 35), ('city', 31), ('street', 27), ('mins', 24), ('melbourne', 23), ('minute', 21), ('bus', 20)]",129.95238095238096
Glenroy,3046.0,Northern Metropolitan,8870.0,['Moreland'],"[('house', 38), ('train', 36), ('bedroom', 30), ('melbourne', 29), ('room', 28), ('station', 28), ('airport', 27), ('access', 26), ('kitchen', 26), ('area', 25)]","[('minutes', 17), ('drive', 17), ('airport', 14), ('station', 12), ('melbourne', 12), ('train', 11), ('minute', 11), ('quiet', 10), ('walk', 10), ('glenroy', 10)]","[('train', 27), ('station', 25), ('city', 16), ('bus', 16), ('airport', 15), ('minutes', 15), ('walk', 15), ('away', 15), ('melbourne', 11), ('take', 9)]",73.17241379310344
Gowanbrae,3043.0,Western Metropolitan,1071.0,['Moreland'],"[('airport', 44), ('room', 21), ('melbourne', 19), ('house', 18), ('kitchen', 17), ('shopping', 17), ('bed', 15), ('minutes', 15), ('centre', 14), ('unit', 13)]","[('airport', 15), ('shopping', 10), ('centre', 9), ('minute', 8), ('drive', 8), ('melbourne', 7), ('minutes', 7), ('quiet', 6), ('city', 6), ('friendly', 5)]","[('bus', 16), ('airport', 11), ('tram', 11), ('city', 11), ('melbourne', 9), ('station', 9), ('train', 8), ('drive', 7), ('walk', 7), ('available', 7)]",66.625
Hadfield,3046.0,Northern Metropolitan,2606.0,['Moreland'],"[('house', 38), ('train', 36), ('bedroom', 30), ('melbourne', 29), ('room', 28), ('station', 28), ('airport', 27), ('access', 26), ('kitchen', 26), ('area', 25)]","[('minutes', 17), ('drive', 17), ('airport', 14), ('station', 12), ('melbourne', 12), ('train', 11), ('minute', 11), ('quiet', 10), ('walk', 10), ('glenroy', 10)]","[('train', 27), ('station', 25), ('city', 16), ('bus', 16), ('airport', 15), ('minutes', 15), ('walk', 15), ('away', 15), ('melbourne', 11), ('take', 9)]",73.17241379310344
Hampton,3188.0,Southern Metropolitan,5454.0,"['Bayside', 'Unavailable']","[('hampton', 72), ('beach', 62), ('bedroom', 50), ('home', 49), ('walk', 48), ('train', 42), ('large', 35), ('area', 34), ('house', 32), ('station', 32)]","[('hampton', 39), ('beach', 28), ('brighton', 22), ('walk', 18), ('shops', 17), ('drive', 16), ('sandringham', 16), ('cafes', 16), ('min', 15), ('great', 15)]","[('station', 49), ('train', 47), ('walk', 37), ('bus', 33), ('hampton', 30), ('street', 25), ('minute', 21), ('min', 16), ('city', 15), ('melbourne', 14)]",191.0
